wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779208304.6919286,12.594752073287964,figure8,21000,32.043945983062486,0.00028975517,-7.494491e-05,0.0,0.017932285,0.00036355783,0,0.01792958,0.0003308663,0.03735413,0.005633404012769461,0.0180245041847229,-0.6583331823348999,-0.7524897456169128,82.38182410253985,0.007429361343383789,195,-2.7045608e-06,-3.2691518e-05,3.2803199780478494e-05,7.337238e-05,2.0863154e-05,7.628091150389482e-05,3.2761513e-05,1.6532529e-06,3.0406041e-05,-6.9958915e-05,4.096187591552734,112.46989440917969
1779208304.7730646,12.675888061523438,figure8,21000,32.043945983062486,0.00017380902,0.0005127461,0.0,0.017932285,0.00036355783,0,0.017931938,0.0003595762,0.03735861,0.005439092870801687,0.018711548298597336,-0.658219575881958,-0.7525737881660461,82.36724476251914,0.012105941772460938,196,-3.46452e-07,-3.981637e-06,3.996681173374752e-06,6.061306e-05,0.00012725175,0.00014095017746543046,3.9923752e-06,1.8547075e-07,0.00013417509,-4.317405e-05,4.096187591552734,112.46989440917969
1779208304.8542378,12.757061243057251,figure8,21000,32.043945983062486,-7.301236e-05,0.00027872826,0.0,0.017932285,0.00036355783,0,0.017922044,0.00035731168,0.037376624,0.005729091353714466,0.018061036244034767,-0.6582680344581604,-0.752545177936554,82.37206872959099,0.010619163513183594,197,-1.0240823e-05,-6.2461477e-06,1.199536650242843e-05,6.519236e-06,8.085757e-05,8.11199562264228e-05,7.550238e-06,-9.321091e-06,8.100742e-05,4.2714532e-06,4.096187591552734,112.46989440917969
1779208304.9368515,12.839674949645996,figure8,21000,32.043945983062486,-0.0005194973,0.00012511219,0.0,0.017932285,0.00036355783,0,0.0178997,0.00035750214,0.037422214,0.0051633683033287525,0.018905770033597946,-0.6583664417266846,-0.7524423599243164,82.39034327392886,0.009728193283081055,198,-3.2585114e-05,-6.055692e-06,3.3143039991190804e-05,-7.571093e-05,5.728453e-05,9.494031127563868e-05,1.0317394e-05,-3.1496227e-05,4.6754136e-05,8.262998e-05,4.096187591552734,112.46989440917969
1779208305.0400856,12.942909002304077,figure8,21000,32.043945983062486,-0.0004697927,0.00031181087,0.0,0.017932285,0.00036355783,0,0.017898807,0.00037066918,0.03739515,0.005375284235924482,0.01843033917248249,-0.6582738757133484,-0.7525336146354675,82.37435734968693,0.01909637451171875,199,-3.347732e-05,7.1113463e-06,3.422429367265038e-05,-5.584919e-05,8.218168e-05,9.936277083063809e-05,-2.6060147e-06,-3.4124932e-05,7.4043695e-05,6.626078e-05,4.096187591552734,112.46989440917969
1779208305.142663,13.045486450195312,figure8,21000,32.043945983062486,-6.866442e-05,-0.00048031294,0.0,0.017932285,0.00036355783,0,0.017911594,0.0003287471,0.037351884,0.005769107956439257,0.018057920038700104,-0.6584464311599731,-0.7523888349533081,82.3992271733145,0.018640518188476562,200,-2.0690262e-05,-3.4810742e-05,4.049536616074024e-05,-1.8626051e-06,-6.4536536e-05,6.456340757964217e-05,3.724158e-05,-1.5904065e-05,-6.421586e-05,-6.689992e-06,4.096187591552734,112.46989440917969
1779208305.2666261,13.1694495677948,figure8,21000,32.043945983062486,-0.00027483358,-0.0007707848,0.0,0.017932285,0.00036355783,0,0.017896,0.00030725636,0.037375994,0.006708875298500061,0.014442576095461845,-0.6584122180938721,-0.7524890303611755,82.3812613253978,0.01923060417175293,201,-3.6284328e-05,-5.6301476e-05,6.698065823784503e-05,-3.922313e-05,-9.743351e-05,0.00010503210708486117,6.061506e-05,-2.8499537e-05,-0.000101773614,2.5959089e-05,4.096187591552734,112.46989440917969
1779208305.2870307,13.189854145050049,figure8,21000,32.043945983062486,0.00024903473,0.0014860458,0.0,0.017932285,0.00036355783,0,0.017912991,0.000352405,0.03735854,0.005906730890274048,0.017522938549518585,-0.6582714915275574,-0.752553403377533,82.3705330420819,0.00919032096862793,202,-1.9293278e-05,-1.1152821e-05,2.228488210803067e-05,0.00013997158,0.000376686,0.0004018511732410043,1.3615584e-05,-1.7641765e-05,0.00039193482,-8.8721325e-05,4.096187591552734,112.46989440917969
1779208305.3688018,13.271625280380249,figure8,21000,32.043945983062486,0.00035753363,0.0013053105,0.0,0.017932285,0.00036355783,0,0.017925141,0.00036488613,0.037370455,0.005473209545016289,0.018094182014465332,-0.6582323312759399,-0.7525774240493774,82.36671188237058,0.009368181228637695,203,-7.143244e-06,1.3282988e-06,7.265694308668728e-06,0.00014265304,0.00030957043,0.0003408573627464953,-3.676749e-07,-7.2563853e-06,0.0003257761,-0.000100267986,4.096187591552734,112.46989440917969
1779208305.45034,13.353163480758667,figure8,21000,32.043945983062486,0.00065374083,0.00052313105,0.0,0.017932285,0.00036355783,0,0.017941207,0.00034516118,0.03737235,0.00560340192168951,0.018093163147568703,-0.658307671546936,-0.7525106072425842,82.37820468878031,0.017989635467529297,204,8.92207e-06,-1.8396648e-05,2.044602630126772e-05,0.00016595435,0.00013554531,0.00021427407213292716,1.705075e-05,1.1283256e-05,0.00015635889,-0.00014651033,4.096187591552734,112.46989440917969
1779208305.5330827,13.435906171798706,figure8,21000,32.043945983062486,0.0009674438,0.0012251035,0.0,0.017932285,0.00036355783,0,0.017970638,0.0003849622,0.037380558,0.005590726155787706,0.018029052764177322,-0.6581461429595947,-0.7526535391807556,82.35335814576473,0.018032550811767578,205,3.8353726e-05,2.1404354e-05,4.392214263709549e-05,0.00022293371,0.00023926301,0.00032702634668519244,-2.6317488e-05,3.5164532e-05,0.00026679965,-0.00018911416,4.096187591552734,112.46989440917969
1779208305.5940332,13.496856689453125,figure8,21000,32.043945983062486,0.00047189748,0.00030619916,0.0,0.017932285,0.00036355783,0,0.017955497,0.0003605578,0.037347797,0.0057875653728842735,0.01771789975464344,-0.6582310795783997,-0.7525851726531982,82.3651106778748,0.0077550411224365234,206,2.3212284e-05,-3.0000228e-06,2.3405346432245633e-05,9.2280476e-05,6.4697124e-05,0.00011270050741991288,-1.10555675e-07,2.3405086e-05,7.6383956e-05,-8.286674e-05,4.096187591552734,112.46989440917969
1779208305.6982605,13.601083993911743,figure8,21000,32.043945983062486,-0.0010035994,-0.0008131729,0.0,0.017932285,0.00036355783,0,0.017875185,0.00031577516,0.037412457,0.006427465006709099,0.015056763775646687,-0.658512532711029,-0.7523917555809021,82.39849746768127,0.017325162887573242,207,-5.7099387e-05,-4.778267e-05,7.445484146839208e-05,-0.000189938,-9.664307e-05,0.00021311106241359986,5.4916003e-05,-5.0276794e-05,-0.00012091923,0.00017548466,4.096187591552734,112.46989440917969
1779208305.779928,13.682751417160034,figure8,21000,32.043945983062486,-0.0007582881,-0.00051196874,0.0,0.017932285,0.00036355783,0,0.017878061,0.0003236346,0.037402663,0.006246363278478384,0.015626084059476852,-0.6584274172782898,-0.7524561285972595,82.38743271626747,0.007547855377197266,208,-5.4223463e-05,-3.9923238e-05,6.733534504293324e-05,-0.00012352165,-4.186594e-05,0.00013042374789219306,4.6754565e-05,-4.845678e-05,-5.7860336e-05,0.00011688685,4.096187591552734,112.46989440917969
1779208305.8819256,13.784749031066895,figure8,21000,32.043945983062486,0.00035571714,0.00073521084,0.0,0.017932285,0.00036355783,0,0.017941356,0.00038223527,0.037359297,0.005591526627540588,0.018255159258842468,-0.6582463979721069,-0.7525604367256165,82.36951751340645,0.007130622863769531,209,9.071082e-06,1.8677441e-05,2.0763702772878748e-05,9.894121e-05,0.00014235063,0.00017335820088394346,-1.9716545e-05,6.510698e-06,0.00015422789,-7.916324e-05,4.096187591552734,112.46989440917969
1779208305.9681425,13.870965957641602,figure8,21000,32.043945983062486,-0.00057138246,-0.0008453167,0.0,0.017932285,0.00036355783,0,0.01789556,0.00032452494,0.03737312,0.007047788240015507,0.013910026289522648,-0.6583962440490723,-0.7525099515914917,82.37720095126923,0.018596172332763672,210,-3.672391e-05,-3.9032893e-05,5.3593024227217556e-05,-0.00011453039,-0.0001319637,0.0001747330163546465,4.3559412e-05,-3.122163e-05,-0.00014599005,9.601318e-05,4.096187591552734,112.46989440917969
1779208306.0720515,13.97487497329712,figure8,21000,32.043945983062486,0.00035158038,-0.000110675566,0.0,0.017932285,0.00036355783,0,0.017945241,0.00034993235,0.037366718,0.005567416548728943,0.018070682883262634,-0.6583565473556519,-0.7524686455726624,82.38555029280576,0.01914072036743164,211,1.295656e-05,-1.3625482e-05,1.8802292634347595e-05,6.401891e-05,-1.863335e-05,6.667550177361958e-05,1.1788507e-05,1.4647774e-05,-9.98613e-06,-6.5923436e-05,4.096187591552734,112.46989440917969
1779208306.1742141,14.077037572860718,figure8,21000,32.043945983062486,-0.00056033535,-0.0005756462,0.0,0.017932285,0.00036355783,0,0.017891644,0.00032809656,0.03737902,0.0066053420305252075,0.014860612340271473,-0.6582725644111633,-0.7526040077209473,82.3613382725065,0.007926702499389648,212,-4.0641055e-05,-3.546127e-05,5.393697345456515e-05,-9.700864e-05,-7.0821894e-05,0.00012011002203821321,4.054881e-05,-3.556671e-05,-8.308832e-05,8.673378e-05,4.096187591552734,112.46989440917969
