wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,battery_v,estimate_z
1779198415.8762863,3.1284968852996826,guard-only,0,0.0,0.0,0.0,0.0,0.0027421974,0.0065991567,0.037753653,0.001357118133455515,-0.015491126105189323,0.6624814867973328,0.7489168643951416,0.00481104850769043,100,-4.262384e-05,2.8991606e-05,5.154905472144767e-05,4.122580528259277,105.214111328125
1779198415.9572034,3.209414005279541,guard-only,0,0.0,0.0,0.0,0.0,0.0027768249,0.0065752724,0.037783477,-9.680967195890844e-05,-0.011707236059010029,0.6625642776489258,0.7489136457443237,0.003906965255737305,101,-7.996336e-06,5.107373e-06,9.48823687106496e-06,4.122580528259277,105.26901245117188
1779198416.059604,3.311814546585083,guard-only,0,0.0,0.0,0.0,0.0,0.0027768612,0.006640113,0.037806716,0.0004896185710094869,-0.012833880260586739,0.6624255180358887,0.7490177154541016,0.012659788131713867,102,-7.960014e-06,6.994791e-05,7.039937813170736e-05,4.122580528259277,105.26226806640625
1779198416.142162,3.3943727016448975,guard-only,0,0.0,0.0,0.0,0.0,0.0028008772,0.0066578984,0.037790757,0.00011440317030064762,-0.012510841712355614,0.6624726057052612,0.7489816546440125,0.002927064895629883,103,1.6056001e-05,8.773338e-05,8.919047928077717e-05,4.122580528259277,105.25858306884766
1779198416.2448943,3.4971048831939697,guard-only,0,0.0,0.0,0.0,0.0,0.0027650557,0.006614963,0.037744615,0.0010837364243343472,-0.014848057180643082,0.6626112461090088,0.7488155364990234,0.013063430786132812,104,-1.9765459e-05,4.4798013e-05,4.896463523260663e-05,4.122580528259277,105.22233581542969
1779198416.3263125,3.5785231590270996,guard-only,0,0.0,0.0,0.0,0.0,0.002769269,0.0065685883,0.037755672,0.00017331393610220402,-0.012063420377671719,0.6624646186828613,0.7489960789680481,0.0010919570922851562,105,-1.5552156e-05,-1.5767291e-06,1.5631878296363582e-05,4.122580528259277,105.22233581542969
1779198416.43105,3.683260679244995,guard-only,0,0.0,0.0,0.0,0.0,0.0028062258,0.006585308,0.037818477,-0.0005292785936035216,-0.009503861889243126,0.6625809669494629,0.7489298582077026,0.014252185821533203,106,2.1404587e-05,1.5142839e-05,2.621949505087978e-05,4.122580528259277,105.24835968017578
1779198416.5150635,3.7672741413116455,guard-only,0,0.0,0.0,0.0,0.0,0.0027681785,0.0066610966,0.03777351,0.00026189241907559335,-0.0125269815325737,0.6623627543449402,0.7490785121917725,0.004974365234375,107,-1.6642734e-05,9.093154e-05,9.244200980275852e-05,4.122580528259277,105.24835968017578
1779198416.5972986,3.8495092391967773,guard-only,0,0.0,0.0,0.0,0.0,0.0027740132,0.006614231,0.037739553,0.0006987872766330838,-0.014484907500445843,0.6625272631645203,0.7488974332809448,0.004450559616088867,108,-1.08079985e-05,4.4065993e-05,4.537206854572154e-05,4.122580528259277,105.20945739746094
1779198416.6797194,3.9319300651550293,guard-only,0,0.0,0.0,0.0,0.0,0.0028004684,0.0066004386,0.037721433,0.0006186009850353003,-0.013696468435227871,0.6625304222106934,0.7489095330238342,0.014923810958862305,109,1.564715e-05,3.0273572e-05,3.407818191487717e-05,4.122580528259277,105.21271514892578
