wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779201898.6774886,5.434437274932861,hold-xy,19000,28.9921416037232,0.004352977,0.0030667349,0.0,0.0070611145,-0.0016521681,0.037276477,0.006372939795255661,-0.018662061542272568,-0.653329610824585,-0.7568167448043823,81.62092147965316,0.020656347274780273,111,0.00051996484,-0.0005245749,0.0007386083290945712,0.0006298986,-0.00052272424,0.0008185431713507805,0.00044320518,0.00059085654,-0.0004253545,-0.0006993471,3.969501495361328,103.48173522949219
1779201898.7608926,5.517841339111328,hold-xy,19000,28.9921416037232,0.0023371584,0.0017210736,0.0,0.0069303494,-0.0015314883,0.037184417,0.008706385269761086,-0.018358709290623665,-0.6532784700393677,-0.7568449974060059,81.61104418742008,0.0017397403717041016,112,0.0003891997,-0.00040389504,0.000560898950248712,5.7530968e-05,-1.2078584e-05,5.8785239553056164e-05,0.0003427923,0.00044396066,-3.5560224e-06,-5.8677586e-05,3.969501495361328,103.4665298461914
1779201898.8420713,5.599020004272461,hold-xy,19000,28.9921416037232,0.003201318,0.001921865,0.0,0.006998401,-0.001557881,0.03723047,0.007214054930955172,-0.017961107194423676,-0.6531224250793457,-0.757004976272583,81.5865586443348,0.004225730895996094,113,0.00045725144,-0.0004302878,0.0006278745472166045,0.00029970525,-0.00010907207,0.0003189356598526502,0.00035875427,0.0005152881,-6.4046835e-05,-0.0003124387,3.969501495361328,103.38089752197266
1779201898.926574,5.683522701263428,hold-xy,19000,28.9921416037232,0.0023640292,0.0022012433,0.0,0.006944813,-0.001574886,0.037236433,0.0069920774549245834,-0.017328545451164246,-0.6533122062683105,-0.7568579912185669,81.61309017807096,0.012214183807373047,114,0.00040366314,-0.0004472928,0.0006025071001830143,-3.1740637e-07,-0.00014302439,0.00014302473892391105,0.0003836322,0.000464587,-0.00014154112,-2.0547097e-05,3.969501495361328,103.38987731933594
1779201899.011596,5.768544673919678,hold-xy,19000,28.9921416037232,0.0034959381,0.002415182,0.0,0.007033618,-0.0016125981,0.037235256,0.00720653822645545,-0.018766144290566444,-0.6533088088035583,-0.7568246126174927,81.61783011991155,0.014578104019165039,115,0.0004924685,-0.00048500486,0.0006911981591415249,0.00032208883,-0.00023698955,0.00039988155153647485,0.00040803425,0.0005579095,-0.00018750541,-0.0003531954,3.969501495361328,103.43428802490234
1779201899.0931904,5.850139141082764,hold-xy,19000,28.9921416037232,0.00031514675,0.0004827301,0.0,0.006816916,-0.0014314577,0.037148993,0.010317616164684296,-0.018060829490423203,-0.6533903479576111,-0.7567353844642639,81.62617463907512,0.014309167861938477,116,0.00027576648,-0.00030386448,0.00041034227120980533,-0.00056867296,0.00049792184,0.000755853868098434,0.00026046482,0.00031707864,0.000409797,0.00063512323,3.969501495361328,103.42352294921875
1779201899.176818,5.933766603469849,hold-xy,19000,28.9921416037232,0.0017247339,0.0011445667,0.0,0.0068998374,-0.0014802068,0.03721283,0.008520342409610748,-0.01784270629286766,-0.6531825065612793,-0.7569423317909241,81.5946809542985,0.0060749053955078125,117,0.0003586877,-0.00035261363,0.000502984325498791,-0.00012726872,0.00018934139,0.00022813918969245538,0.00029639498,0.00040637824,0.00016870414,0.00015357866,3.969501495361328,103.42352294921875
1779201899.2784157,6.035364389419556,hold-xy,19000,28.9921416037232,0.0013154836,0.0011241232,0.0,0.006858563,-0.001463512,0.037190866,0.008695625700056553,-0.01808909885585308,-0.6531282067298889,-0.7569813132286072,81.5872877849599,0.016634225845336914,118,0.00031741336,-0.00033591874,0.0004621608402274538,-0.00022509992,0.00018755381,0.00029299557862275436,0.00028586586,0.00036314368,0.00015260302,0.00025011742,3.969501495361328,103.44960021972656
1779201899.3608415,6.117790222167969,hold-xy,20000,30.518043793392845,0.0010662912,0.0010287942,0.0,0.006826721,-0.0014423467,0.037183367,0.00986413098871708,-0.018072307109832764,-0.6533713340759277,-0.7567574977874756,81.62353845094734,0.007063388824462891,119,0.00028557144,-0.0003147535,0.00042499507771443705,-0.00026140604,0.00020030726,0.00032932675783099046,0.00026979472,0.00032837724,0.00016008968,0.0002877975,3.969501495361328,103.41008758544922
1779201899.462354,6.219302654266357,hold-xy,20000,30.518043793392845,0.0034771445,0.0024981655,0.0,0.0070010386,-0.0015883101,0.037264813,0.006490366533398628,-0.01742062158882618,-0.6532493829727173,-0.7569145560264587,81.60410026453955,0.01696157455444336,120,0.00045988895,-0.0004607169,0.0006509669043348361,0.0003878359,-0.00033775665,0.000514291975893464,0.00038862988,0.0005222305,-0.00027750805,-0.00043299596,3.958944320678711,103.36185455322266
1779201899.5480845,6.305033206939697,hold-xy,21000,32.043945983062486,0.0014782059,0.0010593514,0.0,0.0068669114,-0.0014560968,0.037182186,0.009250522591173649,-0.017809655517339706,-0.6532803177833557,-0.7568501234054565,81.6090623744886,0.009546518325805664,121,0.00032576174,-0.00032850355,0.0004626394729618466,-0.00016050696,0.00018939833,0.0002482623826198934,0.00027744976,0.000370212,0.00016394867,0.00018642705,3.958944320678711,103.36900329589844
1779201899.633064,6.390012741088867,hold-xy,21000,32.043945983062486,0.0030509946,0.0017237966,0.0,0.006986825,-0.0015241634,0.03722479,0.00755102327093482,-0.018578266724944115,-0.6532281637191772,-0.7568955421447754,81.60475035537884,0.00022482872009277344,122,0.0004456751,-0.0003965702,0.0005965686894402923,0.00026912495,-8.396123e-05,0.00028191794779108435,0.0003272517,0.0004987991,-4.3769032e-05,-0.00027849956,3.9483871459960938,103.419189453125
1779201899.7179534,6.474902153015137,hold-xy,22000,33.56984817273213,0.0020144123,0.0022017816,0.0,0.0069098435,-0.0015548067,0.037263423,0.0069272201508283615,-0.01609041914343834,-0.6533913612365723,-0.7568175792694092,81.62085158894068,0.0008566379547119141,123,0.00036869384,-0.0004272135,0.0005643106628986929,-8.570505e-05,-0.00016787865,0.0001884903099719638,0.00036892598,0.00042701303,-0.0001785758,6.03264e-05,3.9483871459960938,103.36105346679688
1779201899.8030686,6.560017347335815,hold-xy,22000,33.56984817273213,0.00012199965,0.00042458443,0.0,0.006780755,-0.0014049076,0.037206706,0.010042161680758,-0.016802772879600525,-0.6532161235809326,-0.7569184303283691,81.59546055972392,0.00999307632446289,124,0.00023960508,-0.00027731434,0.00036648852164469336,-0.0005696969,0.00047435763,0.0007413296681487809,0.00023931515,0.00027756454,0.0003859957,0.0006329115,3.9378299713134766,103.25677490234375
1779201899.8839326,6.640881299972534,hold-xy,23000,35.09575036240177,-0.0009136199,-0.0013813304,0.0,0.0066923834,-0.0012267586,0.037044283,0.012529750354588032,-0.014093253761529922,-0.6533026099205017,-0.7568619847297668,81.59913001958853,0.010592460632324219,125,0.00015123375,-9.9165365e-05,0.0001808463858220556,-0.000729088,0.0009979069,0.0012358751715432655,7.600637e-05,0.00016409889,0.00088068115,0.0008670572,3.9272727966308594,103.16024780273438
